url,decision,redirect_target,reason
/,KEEP,,core page
/about,KEEP,,core page
/imprint,KEEP,,legal page
/privacy,KEEP,,legal page
/cookie-policy,KEEP,,legal page
/blog,KEEP,,blog hub
/blog/[slug],KEEP,,blog dynamic route
/blog/category/[slug],KEEP,,blog category
/china-basics,KEEP,,section hub
/china-basics/before-you-go,KEEP,,section hub
/china-basics/before-you-go/is-china-safe,KEEP,,key content
/china-basics/before-you-go/packing-list,KEEP,,key content
/china-basics/how-china-differs,KEEP,,section hub
/china-basics/how-china-differs/visa-guide,KEEP,,key content
/china-basics/how-to-get-around,KEEP,,section hub
/china-basics/how-to-get-around/city-to-city,KEEP,,getting around cluster
/china-basics/how-to-get-around/didi,KEEP,,getting around cluster
/china-basics/how-to-get-around/metro-subway,KEEP,,getting around cluster
/china-basics/how-to-get-around/plane,KEEP,,getting around cluster
/china-basics/how-to-get-around/taxi,KEEP,,getting around cluster
/china-basics/how-to-get-around/train,KEEP,,getting around cluster
/china-basics/how-to-get-internet,KEEP,,section hub
/china-basics/how-to-get-internet/airalo-esim,KEEP,,SACRED PAGE — top traffic URL frozen
/china-basics/how-to-get-internet/esim,KEEP,,eSIM cluster
/china-basics/how-to-get-internet/holafly-esim,KEEP,,eSIM cluster
/china-basics/how-to-get-internet/physical-sim,KEEP,,eSIM cluster
/china-basics/what-apps-to-use,KEEP,,section hub
/china-basics/what-apps-to-use/alipay,KEEP,,payment page
/china-basics/what-apps-to-use/communication,KEEP,,apps cluster
/china-basics/what-apps-to-use/didi,KEEP,,apps cluster
/china-basics/what-apps-to-use/maps,KEEP,,apps cluster
/china-basics/what-apps-to-use/meituan,KEEP,,apps cluster
/china-basics/what-apps-to-use/payment,KEEP,,payment page
/china-basics/what-apps-to-use/travel,KEEP,,apps cluster
/china-basics/what-apps-to-use/trip-com,KEEP,,apps cluster
/china-basics/what-apps-to-use/vpn,KEEP,,apps cluster
/china-basics/what-apps-to-use/wechat-pay,KEEP,,payment page
/destinations,KEEP,,section hub
/destinations/beijing,KEEP,,core city hub
/destinations/beijing/day-trips,KEEP,,city sub-hub
/destinations/beijing/local-experiences,KEEP,,city sub-hub
/destinations/beijing/local-tips,KEEP,,city sub-hub
/destinations/beijing/transport-guide,KEEP,,city sub-hub
/destinations/beijing/what-to-do,KEEP,,city sub-hub
/destinations/beijing/where-to-eat,KEEP,,city sub-hub
/destinations/beijing/where-to-eat/jianbing,KEEP,,traffic page — Google pos ~10
/destinations/beijing/where-to-stay,KEEP,,city sub-hub
/destinations/chengdu,KEEP,,core city hub
/destinations/chengdu/day-trips,KEEP,,city sub-hub
/destinations/chengdu/local-experiences,KEEP,,city sub-hub
/destinations/chengdu/local-tips,KEEP,,city sub-hub
